>train
-----------
#energy
gaff-1.81
$4.3163_{4.2734}^{4.3618}$
gaff-2.11
$4.3861_{4.3373}^{4.4306}$
openff-1.2.0
$4.1749_{4.1277}^{4.2175}$
openff-2.0.0
$4.1446_{4.0964}^{4.1887}$
openff-2.1.0
$4.3675_{4.3172}^{4.4150}$
amber14
$4.4403_{4.3929}^{4.4848}$
#force
gaff-1.81
$12.7157_{12.6930}^{12.7399}$
gaff-2.11
$12.6606_{12.6386}^{12.6833}$
openff-1.2.0
$12.1239_{12.1031}^{12.1440}$
openff-2.0.0
$12.3696_{12.3493}^{12.3884}$
openff-2.1.0
$12.0168_{11.9991}^{12.0346}$
amber14
$12.0558_{12.0372}^{12.0745}$

>validation
-----------
#energy
gaff-1.81
$4.4571_{4.3057}^{4.6035}$
gaff-2.11
$4.4889_{4.3403}^{4.6430}$
openff-1.2.0
$4.3511_{4.2048}^{4.4871}$
openff-2.0.0
$4.2831_{4.1315}^{4.4305}$
openff-2.1.0
$4.4999_{4.3462}^{4.6486}$
amber14
$4.7056_{4.5434}^{4.8613}$
#force
gaff-1.81
$13.2791_{13.2109}^{13.3459}$
gaff-2.11
$13.3069_{13.2399}^{13.3805}$
openff-1.2.0
$12.2260_{12.1710}^{12.2816}$
openff-2.0.0
$12.5245_{12.4694}^{12.5789}$
openff-2.1.0
$12.2493_{12.1929}^{12.3004}$
amber14
$12.2485_{12.2009}^{12.3020}$

>test
-----------
#energy
gaff-1.81
$4.2105_{4.0738}^{4.3383}$
gaff-2.11
$4.2820_{4.1472}^{4.4249}$
openff-1.2.0
$4.1264_{3.9944}^{4.2617}$
openff-2.0.0
$4.1488_{4.0083}^{4.2901}$
openff-2.1.0
$4.3479_{4.2155}^{4.4995}$
amber14
$4.4397_{4.2949}^{4.5748}$
#force
gaff-1.81
$12.0609_{12.0017}^{12.1232}$
gaff-2.11
$11.9837_{11.9214}^{12.0466}$
openff-1.2.0
$11.8214_{11.7653}^{11.8728}$
openff-2.0.0
$12.0061_{11.9527}^{12.0629}$
openff-2.1.0
$11.6081_{11.5577}^{11.6587}$
amber14
$11.8216_{11.7717}^{11.8759}$

