# energy / force
gaff-1.81: $2.6634_{2.0496}^{3.4207}$ / $11.2806_{9.9610}^{12.8234}$
gaff-2.11: $2.6916_{2.1475}^{3.3045}$ / $11.0334_{9.8443}^{12.3607}$
openff-1.2.0: $1.9477_{1.5484}^{2.4134}$ / $12.1848_{11.0556}^{13.3768}$
openff-2.0.0: $2.0448_{1.6331}^{2.5092}$ / $11.6903_{10.5849}^{12.8705}$
openff-2.1.0: $2.0413_{1.6961}^{2.3914}$ / $12.6168_{11.6042}^{13.7399}$
