>train
-----------
#energy
gaff-1.81
$2.8905_{2.8066}^{2.9689}$
gaff-2.11
$3.1339_{3.0469}^{3.2243}$
openff-1.2.0
$2.6340_{2.5631}^{2.7110}$
openff-2.0.0
$2.7987_{2.7392}^{2.8660}$
openff-2.1.0
$3.1509_{3.0265}^{3.2996}$
#force
gaff-1.81
$10.3004_{10.2621}^{10.3401}$
gaff-2.11
$10.3300_{10.2904}^{10.3699}$
openff-1.2.0
$11.2892_{11.2630}^{11.3151}$
openff-2.0.0
$10.7608_{10.7324}^{10.7878}$
openff-2.1.0
$11.7348_{11.7074}^{11.7641}$

>validation
-----------
#energy
gaff-1.81
$2.9039_{2.7095}^{3.0913}$
gaff-2.11
$3.1091_{2.9420}^{3.3021}$
openff-1.2.0
$2.2244_{2.1384}^{2.3206}$
openff-2.0.0
$2.3962_{2.3069}^{2.4823}$
openff-2.1.0
$2.5298_{2.4381}^{2.6248}$
#force
gaff-1.81
$10.4428_{10.2854}^{10.5976}$
gaff-2.11
$10.2001_{10.0710}^{10.3364}$
openff-1.2.0
$10.5224_{10.4455}^{10.6077}$
openff-2.0.0
$10.2679_{10.2009}^{10.3460}$
openff-2.1.0
$10.6058_{10.5340}^{10.6757}$

>test
-----------
#energy
gaff-1.81
$2.7750_{2.7071}^{2.8477}$
gaff-2.11
$2.9430_{2.8526}^{3.0508}$
openff-1.2.0
$2.4948_{2.4250}^{2.5701}$
openff-2.0.0
$2.4926_{2.4380}^{2.5499}$
openff-2.1.0
$2.7696_{2.7029}^{2.8431}$
#force
gaff-1.81
$10.2347_{10.1896}^{10.2791}$
gaff-2.11
$10.3676_{10.3235}^{10.4149}$
openff-1.2.0
$11.2572_{11.2124}^{11.3021}$
openff-2.0.0
$10.7507_{10.7076}^{10.7958}$
openff-2.1.0
$10.6232_{10.5839}^{10.6629}$

