DATASET	N_CONFS	ISOMERIC_SMILES	NONISOMERIC_SMILES
gen2-torsion	48	C1CC1(CO)O	C1CC1(CO)O
gen2-torsion	24	CS(=NC(=O)C=C)(=O)C	CS(=NC(=O)C=C)(=O)C
gen2-torsion	24	CCC1(CC(=O)c2ccccc2O1)CC	CCC1(CC(=O)c2ccccc2O1)CC
gen2-torsion	24	C[C@H](C1=NC=CN1)NC(=O)C	CC(C1=NC=CN1)NC(=O)C
gen2-torsion	48	COP(=O)(NC(=O)C(Cl)(Cl)Cl)OC	COP(=O)(NC(=O)C(Cl)(Cl)Cl)OC
gen2-torsion	48	c1c(ncc(n1)Br)C2(CC2)CN	c1c(ncc(n1)Br)C2(CC2)CN
gen2-torsion	24	CC(C)c1ccc2c(c1)C=C(N2)C(=O)O	CC(C)c1ccc2c(c1)C=C(N2)C(=O)O
gen2-torsion	48	c1ccc(cc1)CS(=O)(=O)NO	c1ccc(cc1)CS(=O)(=O)NO
gen2-torsion	24	COc1cc(c(cc1I)O)F	COc1cc(c(cc1I)O)F
gen2-torsion	13	C[C@@H]1C[C@@H]1N2C(=O)C3=C(N(C2=O)CC4CCC4)SC(=C3C)CN5CCNC5=O	CC1CC1N2C(=O)C3=C(N(C2=O)CC4CCC4)SC(=C3C)CN5CCNC5=O
gen2-torsion	24	c1cc(c(cc1F)F)C2(CC2)CN3C(=O)N4[C@@H](CCCC4=N3)C(=O)N5CC[C@@H](C5)F	c1cc(c(cc1F)F)C2(CC2)CN3C(=O)N4C(CCCC4=N3)C(=O)N5CCC(C5)F
gen2-torsion	24	c1cc(c(cc1F)[N+](=O)[O-])[C@@H]2COC(=O)N2	c1cc(c(cc1F)[N+](=O)[O-])C2COC(=O)N2
gen2-torsion	24	COC[C@]1(CCC2=C(C1)c3c(ncnc3Nc4ccc5c(c4)C=NN5)N2)OC	COCC1(CCC2=C(C1)c3c(ncnc3Nc4ccc5c(c4)C=NN5)N2)OC
gen2-torsion	48	CC(=O)/C=N/NC(C)(C)C	CC(=O)C=NNC(C)(C)C
gen2-torsion	24	C[C@@H]1CN(CC[C@@]1(C)O)C(=O)CN2N=CC=N2	CC1CN(CCC1(C)O)C(=O)CN2N=CC=N2
gen2-torsion	24	CNC(=O)[C@H](CCSC)N	CNC(=O)C(CCSC)N
gen2-torsion	24	CN(C)C(=O)C1=C(C=CN1)O	CN(C)C(=O)C1=C(C=CN1)O
gen2-torsion	24	Cc1c(c(c(c(n1)C)C(=O)OCCO)c2ccccc2OC)C(=O)OC	Cc1c(c(c(c(n1)C)C(=O)OCCO)c2ccccc2OC)C(=O)OC
gen2-torsion	24	c1ccc(cc1)/C=C\S(=O)(=O)c2ccc(c(c2)Cl)Cl	c1ccc(cc1)C=CS(=O)(=O)c2ccc(c(c2)Cl)Cl
gen2-torsion	48	C(CBr)C1=NN=NN1	C(CBr)C1=NN=NN1
gen2-torsion	48	CNC(=O)[C@H](CCSC)N	CNC(=O)C(CCSC)N
gen2-torsion	24	Cc1cc2c(c(c1Cl)O)Oc3ccc(c(c3C(=O)OC2)OC)[C@@H](CC(C)C)O	Cc1cc2c(c(c1Cl)O)Oc3ccc(c(c3C(=O)OC2)OC)C(CC(C)C)O
gen2-torsion	48	CC1=NC(=NN1)/N=N\c2ccc(cc2)O	CC1=NC(=NN1)N=Nc2ccc(cc2)O
gen2-torsion	14	C1CC1(C2=NOC=C2)C(=O)O	C1CC1(C2=NOC=C2)C(=O)O
gen2-torsion	48	c1cc(ccc1C(=O)C[N+]23CN4CN(C2)CN(C4)C3)Cl	c1cc(ccc1C(=O)C[N+]23CN4CN(C2)CN(C4)C3)Cl
gen2-torsion	48	CC1=C(SC(=N1)C)CN2C(=O)C=C(C=N2)N(C)C	CC1=C(SC(=N1)C)CN2C(=O)C=C(C=N2)N(C)C
gen2-torsion	26	c1cc2c(cc1OC(=O)c3ccc(cc3F)Cl)OCO2	c1cc2c(cc1OC(=O)c3ccc(cc3F)Cl)OCO2
gen2-torsion	24	COC1=NNC=C1	COC1=NNC=C1
gen2-torsion	24	C[N@](CC1=NC=CS1)c2c3c(nc(n2)N)CCCC3	CN(CC1=NC=CS1)c2c3c(nc(n2)N)CCCC3
gen2-torsion	9	c1ccc(c(c1)N2C(=O)C3=C(C2=O)CCCC3)F	c1ccc(c(c1)N2C(=O)C3=C(C2=O)CCCC3)F
gen2-torsion	24	CN(C)C(=O)C1(CC1)c2ccccc2	CN(C)C(=O)C1(CC1)c2ccccc2
