DATASET	N_CONFS	ISOMERIC_SMILES	NONISOMERIC_SMILES
protein-torsion	24	C[C@@H](C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](C)C(=O)NC)NC(=O)C	CC(C)C(C(=O)NC(C)C(=O)NC)NC(=O)C(C)NC(=O)C
protein-torsion	24	C[C@@H](C(=O)NC)NC(=O)[C@@H]1CCCN1C(=O)[C@H](C)NC(=O)C	CC(C(=O)NC)NC(=O)C1CCCN1C(=O)C(C)NC(=O)C
protein-torsion	576	CC(C)[C@@H](C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](C(C)C)C(=O)NC)NC(=O)C	CC(C)C(C(=O)NC(CC(=O)N)C(=O)NC(C(C)C)C(=O)NC)NC(=O)C
protein-torsion	576	CC(=O)N[C@@H](Cc1ccccc1)C(=O)NC	CC(=O)NC(Cc1ccccc1)C(=O)NC
protein-torsion	576	CC(=O)N[C@@H](CCCC[NH3+])C(=O)NC	CC(=O)NC(CCCC[NH3+])C(=O)NC
protein-torsion	576	CC(=O)N[C@@H](CCC(=O)O)C(=O)NC	CC(=O)NC(CCC(=O)O)C(=O)NC
protein-torsion	24	CC(=O)N[C@@H](CS)C(=O)NC	CC(=O)NC(CS)C(=O)NC
protein-torsion	576	CC(=O)N[C@@H](CCC(=O)N)C(=O)NC	CC(=O)NC(CCC(=O)N)C(=O)NC
protein-torsion	24	C[C@@H](C(=O)N[C@@H](CC1=CNC=N1)C(=O)N[C@@H](C)C(=O)NC)NC(=O)C	CC(C(=O)NC(CC1=CNC=N1)C(=O)NC(C)C(=O)NC)NC(=O)C
protein-torsion	576	CC(=O)N[C@@H](CC(=O)O)C(=O)NC	CC(=O)NC(CC(=O)O)C(=O)NC
protein-torsion	576	CC(=O)N[C@@H](CCC[NH+]=C(N)N)C(=O)NC	CC(=O)NC(CCC[NH+]=C(N)N)C(=O)NC
protein-torsion	600	C[C@@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)NC)NC(=O)C	CC(C)CC(C(=O)NC(C)C(=O)NC)NC(=O)C(C)NC(=O)C
