DATASET	N_CONFS	ISOMERIC_SMILES	NONISOMERIC_SMILES
gen2-torsion	11	C#Cc1ccccc1	C#Cc1ccccc1
gen2	7	C#Cc1ccccc1	C#Cc1ccccc1
gen2-torsion	48	C(C#N)N=[N+]=[N-]	C(C#N)N=[N+]=[N-]
gen2	20	C(C#N)N=[N+]=[N-]	C(C#N)N=[N+]=[N-]
gen2-torsion	11	C(CBr)C1=NN=NN1	C(CBr)C1=NN=NN1
gen2-torsion	48	C(CBr)C1=NN=NN1	C(CBr)C1=NN=NN1
gen2-torsion	24	C(CBr)C1=NN=NN1	C(CBr)C1=NN=NN1
gen2-torsion	24	C(CBr)C1=NN=NN1	C(CBr)C1=NN=NN1
spice-des-monomers	50	C(CO)O	C(CO)O
gen2-torsion	48	C(CO)O	C(CO)O
gen2-torsion	48	C(CO)O	C(CO)O
gen2-torsion	24	C(N)[P@H](=O)O	C(N)P(=O)O
gen2	89	C(N)[P@H](=O)O	C(N)P(=O)O
gen2-torsion	24	C/C(=C\[C@H]1c2cccc3c2C(=CN3)C[C@H]1NC)/CO	CC(=CC1c2cccc3c2C(=CN3)CC1NC)CO
gen2-torsion	13	C/C(=C\[C@H]1c2cccc3c2C(=CN3)C[C@H]1NC)/CO	CC(=CC1c2cccc3c2C(=CN3)CC1NC)CO
gen2-torsion	24	C/C(=N\NC(=O)N)/C1=CC(CCC1)(C)C	CC(=NNC(=O)N)C1=CC(CCC1)(C)C
gen2-torsion	24	C/C(=N\NC(=O)N)/C1=CC(CCC1)(C)C	CC(=NNC(=O)N)C1=CC(CCC1)(C)C
gen2-torsion	48	C1=C(SN=N1)CNN	C1=C(SN=N1)CNN
gen2-torsion	14	C1=C(SN=N1)CNN	C1=C(SN=N1)CNN
gen2-torsion	48	C1=C(SN=N1)CNN	C1=C(SN=N1)CNN
gen2-torsion	24	C1=C(SN=N1)CNN	C1=C(SN=N1)CNN
gen2	66	C1=C(SN=N1)CNN	C1=C(SN=N1)CNN
gen2-torsion	24	C1=CNC(=C1)[C@H](C(F)(F)F)N	C1=CNC(=C1)C(C(F)(F)F)N
gen2	52	C1=CNC(=C1)[C@H](C(F)(F)F)N	C1=CNC(=C1)C(C(F)(F)F)N
gen2-torsion	48	C1=CNC(=C1)[C@H](C(F)F)N	C1=CNC(=C1)C(C(F)F)N
gen2	64	C1=CNC(=C1)[C@H](C(F)F)N	C1=CNC(=C1)C(C(F)F)N
gen2-torsion	24	C1=N[C@@H](C(=N1)C(=O)N)[N+]#N	C1=NC(C(=N1)C(=O)N)[N+]#N
gen2-torsion	48	C1=N[C@@H](C(=N1)C(=O)N)[N+]#N	C1=NC(C(=N1)C(=O)N)[N+]#N
gen2-torsion	24	C1C(CO1)(CO)O	C1C(CO1)(CO)O
gen2	22	C1C(CO1)(CO)O	C1C(CO1)(CO)O
gen2-torsion	7	C1C2CC3CC1CC(C2)C3=NOC(=O)C4=CC=CO4	C1C2CC3CC1CC(C2)C3=NOC(=O)C4=CC=CO4
gen2-torsion	24	C1C2CC3CC1CC(C2)C3=NOC(=O)C4=CC=CO4	C1C2CC3CC1CC(C2)C3=NOC(=O)C4=CC=CO4
gen2-torsion	11	C1C2CC3CC1CC(C2)C3=NOC(=O)C4=CC=CO4	C1C2CC3CC1CC(C2)C3=NOC(=O)C4=CC=CO4
gen2-torsion	48	C1CC1(C(=O)O)F	C1CC1(C(=O)O)F
gen2-torsion	24	C1CC1(C(=O)O)F	C1CC1(C(=O)O)F
gen2-torsion	48	C1CC1(C2=NOC=C2)C(=O)O	C1CC1(C2=NOC=C2)C(=O)O
gen2-torsion	24	C1CC1(C2=NOC=C2)C(=O)O	C1CC1(C2=NOC=C2)C(=O)O
gen2-torsion	14	C1CC1(C2=NOC=C2)C(=O)O	C1CC1(C2=NOC=C2)C(=O)O
gen2-torsion	24	C1CC1(C2=NOC=C2)C(=O)O	C1CC1(C2=NOC=C2)C(=O)O
gen2-torsion	14	C1CC1(C2=NOC=C2)C(=O)O	C1CC1(C2=NOC=C2)C(=O)O
gen2-torsion	48	C1CC1(C2=NOC=C2)C(=O)O	C1CC1(C2=NOC=C2)C(=O)O
gen2-torsion	48	C1CC1(CO)O	C1CC1(CO)O
gen2	53	C1CC1(CO)O	C1CC1(CO)O
gen2-torsion	48	C1CC1(CO)O	C1CC1(CO)O
gen2	14	C1CC1N2C=CC=CC2=O	C1CC1N2C=CC=CC2=O
gen2-torsion	24	C1CC1N2C=CC=CC2=O	C1CC1N2C=CC=CC2=O
gen2-torsion	24	C1CC1N2CCN(CC2)C3(CC3)C(=O)O	C1CC1N2CCN(CC2)C3(CC3)C(=O)O
gen2-torsion	24	C1CC1N2CCN(CC2)C3(CC3)C(=O)O	C1CC1N2CCN(CC2)C3(CC3)C(=O)O
gen2-torsion	24	C1CC1N2CCN(CC2)C3(CC3)C(=O)O	C1CC1N2CCN(CC2)C3(CC3)C(=O)O
gen2-torsion	24	C1CC1NC(=O)C[N@@]2C[C@@H](CO2)O	C1CC1NC(=O)CN2CC(CO2)O
gen2-torsion	24	C1CC1NC(=O)C[N@@]2C[C@@H](CO2)O	C1CC1NC(=O)CN2CC(CO2)O
gen2-torsion	24	C1CC1NC(=O)C[N@@]2C[C@H](CO2)O	C1CC1NC(=O)CN2CC(CO2)O
gen2	725	C1CC1NC(=O)C[N@@]2C[C@H](CO2)O	C1CC1NC(=O)CN2CC(CO2)O
gen2-torsion	24	C1CC1NC(=O)C[N@]2C[C@@H](CO2)O	C1CC1NC(=O)CN2CC(CO2)O
gen2-torsion	26	C1CC1NC(=O)C[N@]2C[C@@H](CO2)O	C1CC1NC(=O)CN2CC(CO2)O
gen2-torsion	24	C1CC1NC(=O)C[N@]2C[C@@H](CO2)O	C1CC1NC(=O)CN2CC(CO2)O
gen2-torsion	24	C1CC1NC(=O)C[N@]2C[C@H](CO2)O	C1CC1NC(=O)CN2CC(CO2)O
gen2-torsion	48	C1CC1NC(=O)C[N@]2C[C@H](CO2)O	C1CC1NC(=O)CN2CC(CO2)O
gen2-torsion	48	C1CCC2(C1)C(=O)N(C(=O)N2)CC3=NOC(=N3)C4CC4	C1CCC2(C1)C(=O)N(C(=O)N2)CC3=NOC(=N3)C4CC4
gen2	916	C1CCC2(C1)C(=O)N(C(=O)N2)CC3=NOC(=N3)C4CC4	C1CCC2(C1)C(=O)N(C(=O)N2)CC3=NOC(=N3)C4CC4
gen2-torsion	24	C1CC[C@@H]([C@H](C1)CC2=NC=CN2)O	C1CCC(C(C1)CC2=NC=CN2)O
gen2-torsion	24	C1CC[C@@H]([C@H](C1)CC2=NC=CN2)O	C1CCC(C(C1)CC2=NC=CN2)O
gen2	139	C1CN(CC[NH2+]1)CC2=CC=CNC2=O	C1CN(CC[NH2+]1)CC2=CC=CNC2=O
gen2-torsion	48	C1CN(CC[NH2+]1)CC2=CC=CNC2=O	C1CN(CC[NH2+]1)CC2=CC=CNC2=O
gen2	97	C1CS(=O)(=O)CCC12CN=C(O2)N	C1CS(=O)(=O)CCC12CN=C(O2)N
gen2-torsion	13	C1CS(=O)(=O)CCC12CN=C(O2)N	C1CS(=O)(=O)CCC12CN=C(O2)N
